SNP position	P	Odds ratio	gene	product
197992	3.53E-11	1.887579	intergenic	n/a
1065630	3.65E-11	1.607989	lacE2	lactose-specific phosphotransferase system (PTS), IIBC component 2
2200914	3.66E-11	18.92721	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
2200793	3.66E-11	18.92721	cbiO	cobalt transporter ATP-binding subunit
189331	3.66E-11	18.92721	-	GNAT family acetyltransferase
1597461	3.66E-11	13.66681	-	hypothetical protein
2211898	3.66E-11	18.92721	-	hypothetical protein
1065527	3.66E-11	18.92721	lacE2	lactose-specific phosphotransferase system (PTS), IIBC component 2
1821197	3.66E-11	18.92721	-	nicotinamide mononucleotide transporter
441406	3.66E-11	18.92721	pgk	phosphoglycerate kinase
1633809	3.66E-11	18.92721	nanA	sialidase A (neuraminidase A)
139442	3.66E-11	18.92721	intergenic	n/a
810973	3.66E-11	18.92721	intergenic	n/a
1947799	4.02E-11	0.7699541	-	ABC transporter ATP-binding protein
1105461	4.14E-11	0.8303991	uvrB	excinuclease ABC subunit B
1739169	4.40E-11	13.81985	-	hypothetical protein
2053182	4.69E-11	0.6431268	-	ABC transporter permease
1558235	4.69E-11	22.64314	cmk	cytidylate kinase
886798	4.93E-11	14.09621	mtnN	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
1163919	5.10E-11	0.1861388	intergenic	n/a
841471	5.30E-11	1.654747	holB	DNA polymerase III subunit delta'
767942	5.30E-11	18.92721	sufC	FeS assembly ATPase SufC, ABC transporter ATP-binding protein
303849	5.33E-11	3.636181	wzg	capsule biosynthesis integral membrane regulatory protein Wzg
502551	5.59E-11	2.19226	-	6-phospho-beta-glucosidase
32937	5.69E-11	9.434606	dut	deoxyuridine 5'-triphosphate nucleotidohydrolase
1049722	5.70E-11	1.421683	pyrC	dihydroorotase
840983	5.76E-11	1.494873	holB	DNA polymerase III subunit delta'
1980745	6.06E-11	6.12296	intergenic	n/a
112119	6.21E-11	13.20893	-	peptidoglycan-binding protein
209485	7.27E-11	0.5715922	-	inner membrane component of ABC transporter
674913	7.67E-11	18.92721	holA	DNA polymerase III subunit delta
1890404	7.71E-11	0.0209027	ply	pneumolysin (thiol-activated cytolysin)
1381094	8.47E-11	13.81985	intergenic	n/a
1828855	9.25E-11	5.771971	intergenic	n/a
1290206	9.26E-11	2.851444	-	chlorohydrolase
1342729	9.39E-11	2.241452	-	haloacid dehalogenase-like hydrolase
1550848	9.71E-11	8.113016	pepQ	Xaa-Pro dipeptidase
1649630	1.01E-10	13.29199	-	hypothetical protein
46504	1.03E-10	0.4623073	plsX	glycerol-3-phosphate acyltransferase PlsX
480959	1.06E-10	2.558023	infB	translation initiation factor IF-2
179199	1.07E-10	0.5344615	spxA	Spx family transcriptional regulator
1927887	1.10E-10	0.2868534	intergenic	n/a
712702	1.11E-10	0.6845496	-	peptidase
271078	1.16E-10	0.3837682	intergenic	n/a
1600099	1.19E-10	12.20583	ileS	isoleucyl-tRNA synthetase
616717	1.21E-10	2.090524	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
816688	1.22E-10	1.550134	-	hypothetical protein
1377960	1.25E-10	13.20893	-	beta-lactamase
1973960	1.34E-10	1.464342	pbp2A	penicillin-binding protein 2a
637379	1.36E-10	2.463895	-	ABC transporter ATP-binding protein
878268	1.42E-10	1.903136	-	O-methyltransferase
1553137	1.44E-10	Inf	-	hypothetical protein
1553301	1.44E-10	Inf	-	hypothetical protein
1554007	1.44E-10	Inf	thiD	phosphomethylpyrimidine kinase
1553893	1.44E-10	Inf	thiD	phosphomethylpyrimidine kinase
1553787	1.44E-10	Inf	thiD	phosphomethylpyrimidine kinase
1553623	1.44E-10	Inf	thiD	phosphomethylpyrimidine kinase
1553566	1.44E-10	Inf	thiD	phosphomethylpyrimidine kinase
857436	1.48E-10	0.4177468	-	ABC transporter ATP-binding protein
5594	1.54E-10	2.550809	trcF	transcription-repair coupling factor
6405	1.54E-10	2.550809	trcF	transcription-repair coupling factor
1348428	1.56E-10	2.661178	nagB	glucosamine-6-phosphate isomerase
794795	1.62E-10	11.6	-	type I restriction modification system restriction protein
1593956	1.62E-10	11.6	intergenic	n/a
632398	1.66E-10	1.1551	intergenic	n/a
1652495	1.72E-10	13.81985	intergenic	n/a
2053080	1.75E-10	1.697522	-	ABC transporter permease
1652449	1.76E-10	1.36097	intergenic	n/a
1863260	1.78E-10	0.5798133	msmR	AraC family transcriptional regulator
1948831	1.83E-10	0.450294	-	hypothetical protein
162420	1.84E-10	6.535476	intergenic	n/a
452333	1.90E-10	1.508851	-	type I restriction-modification system R protein
2177462	2.07E-10	6.432998	clpC	stress response-related Clp ATPase
2103695	2.08E-10	0.8987998	-	PTS multi-domain regulator
700847	2.10E-10	3.028473	-	hypothetical protein
337302	2.11E-10	5.771971	-	hypothetical protein
1953815	2.23E-10	1.66561	intergenic	n/a
1479457	2.24E-10	0.5903501	-	ABC transporter ATP-binding protein
1454924	2.27E-10	0.5820879	-	hypothetical protein
461917	2.47E-10	11.27353	-	ABC transporter ATP-binding protein
684765	2.67E-10	0.1960667	intergenic	n/a
1798014	2.69E-10	1.027783	-	sortase-sorted surface anchored protein
964593	2.87E-10	0.08378919	-	glycosyltransferase
1020879	3.16E-10	6.637921	addA	ATP-dependent exonuclease subunit A
2217531	3.27E-10	5.793799	-	sensor histidine kinase
1895620	3.33E-10	0.3793013	-	hypothetical protein
628856	3.49E-10	10.34763	intergenic	n/a
332799	3.54E-10	7.950497	pbp1A	penicillin-binding protein 1A
163183	3.56E-10	0.5798152	-	DNA-binding protein
2080257	3.56E-10	1.43181	malA	maltodextrose utilization protein MalA
2069467	3.70E-10	0.5280385	-	ribosomal RNA large subunit methyltransferase A
499834	3.87E-10	0.2843488	-	transcription antiterminator
1558588	4.25E-10	0.07513217	-	hypothetical protein
424906	4.37E-10	2.924218	-	ABC transporter ATP-binding protein
568125	4.55E-10	2.803644	-	surface-anchored serine protease
2072887	4.69E-10	4.67177	glgP	glycogen phosphorylase
1129959	4.92E-10	0.385915	intergenic	n/a
301725	4.97E-10	0.5263926	dexB	glucan 1,6-alpha-glucosidase
161339	5.08E-10	8.636719	-	integral membrane protein
824769	5.28E-10	3.733488	intergenic	n/a
1803674	5.58E-10	1.416078	-	ABC transporter ATP-binding protein/permease
1300088	5.64E-10	0.6599327	-	hypothetical protein
677684	5.66E-10	0.1683038	-	radical SAM superfamily protein
967227	5.72E-10	0	intergenic	n/a
2160266	5.72E-10	0	intergenic	n/a
816599	5.85E-10	1.801528	-	hypothetical protein
11133	6.09E-10	0.2096264	-	ATP-binding PP-loop family protein
635206	6.22E-10	1.57643	intergenic	n/a
1289853	6.44E-10	1.382875	intergenic	n/a
913874	6.62E-10	2.349646	prfA	peptide chain release factor 1
621501	6.65E-10	1.584209	pyrE	orotate phosphoribosyltransferase
777189	6.95E-10	2.004989	-	DeoR family regulatory protein
1671246	6.97E-10	1.795685	mvaS	3-hydroxy-3-methylglutaryl coenzyme A synthase
1550200	7.25E-10	Inf	pepQ	Xaa-Pro dipeptidase
1550590	7.25E-10	Inf	pepQ	Xaa-Pro dipeptidase
1550605	7.25E-10	Inf	pepQ	Xaa-Pro dipeptidase
1551022	7.25E-10	Inf	pepQ	Xaa-Pro dipeptidase
211763	7.46E-10	1.52378	intergenic	n/a
603281	7.53E-10	6.41342	thyA	thymidylate synthase
1355262	7.67E-10	4.507369	-	nicotinate phosphoribosyltransferase
1550080	7.67E-10	Inf	pepQ	Xaa-Pro dipeptidase
1550006	7.67E-10	Inf	pepQ	Xaa-Pro dipeptidase
1550884	7.67E-10	Inf	pepQ	Xaa-Pro dipeptidase
1838370	7.80E-10	13.20893	glr	glutamate racemase
1090638	7.81E-10	6.010332	gyrA	DNA gyrase subunit A
677078	7.88E-10	0.1793601	-	hypothetical protein
434324	8.02E-10	0.5991369	-	Na+/Pi-cotransporter protein
1671102	8.31E-10	5.257979	mvaS	3-hydroxy-3-methylglutaryl coenzyme A synthase
2188725	8.32E-10	5.781079	comFC	late competence protein
2121444	8.43E-10	1.844122	-	alpha-1,2-mannosidase
220931	9.01E-10	2.653942	fsaA	fructose-6-phosphate aldolase
1554139	9.12E-10	Inf	thiD	phosphomethylpyrimidine kinase
1554686	9.12E-10	Inf	truA	tRNA pseudouridine synthase A
1554409	9.12E-10	Inf	truA	tRNA pseudouridine synthase A
546772	9.46E-10	2.528551	-	extracellular solute-binding protein
1554224	9.50E-10	Inf	truA	tRNA pseudouridine synthase A
1829083	9.53E-10	13.20893	intergenic	n/a
1447060	9.69E-10	1.345889	-	extracellular oligopeptide-binding protein
1554175	9.85E-10	Inf	truA	tRNA pseudouridine synthase A
547859	1.01E-09	0.5234111	-	nitroreductase family protein
220891	1.08E-09	2.783853	fsaA	fructose-6-phosphate aldolase
1613545	1.09E-09	5.62975	penA	penicillin-binding protein 2b
917981	1.11E-09	1.191396	-	hypothetical protein
674944	1.12E-09	15.67244	holA	DNA polymerase III subunit delta
1782385	1.13E-09	0.3559812	trpG	anthranilate synthase component II
697213	1.14E-09	3.268825	-	permease
10531	1.18E-09	2.285485	-	ATP-binding PP-loop family protein
904514	1.18E-09	4.157976	pepT	peptidase T
301494	1.26E-09	0.1123553	dexB	glucan 1,6-alpha-glucosidase
152140	1.30E-09	3.129763	-	peptidase
913784	1.32E-09	2.233193	prfA	peptide chain release factor 1
1562614	1.33E-09	1.276628	-	NIF3 (NGG1p interacting factor 3) family protein
850502	1.34E-09	2.316859	-	PhoH-like protein
346977	1.35E-09	1.421392	mvaK2	phosphomevalonate kinase
504151	1.39E-09	0.06878043	intergenic	n/a
1796046	1.41E-09	2.272566	-	hypothetical protein
616899	1.51E-09	2.181563	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
11501	1.54E-09	1.704131	-	ATP-binding PP-loop family protein
1482352	1.57E-09	1.958662	-	DegV family protein
701086	1.57E-09	1.997224	intergenic	n/a
1106988	1.62E-09	2.474996	uvrB	excinuclease ABC subunit B
1107021	1.62E-09	2.474996	uvrB	excinuclease ABC subunit B
1106955	1.62E-09	2.474996	uvrB	excinuclease ABC subunit B
198357	1.66E-09	2.576622	rpsH	30S ribosomal protein S8
1835520	1.70E-09	6.880058	xerD	site-specific tyrosine recombinase XerD-like protein
1344314	1.78E-09	3.310504	hemN	coproporphyrinogen III oxidase
1596242	1.78E-09	3.310504	-	hypothetical protein
735211	1.78E-09	2.482244	-	hypothetical protein
121404	1.78E-09	0	-	hypothetical protein
367937	1.78E-09	3.310504	-	hypothetical protein
1780193	1.78E-09	2.024003	trpC	indole-3-glycerol-phosphate synthase
733784	1.78E-09	3.310504	deoB	phosphopentomutase
921521	1.78E-09	3.310504	-	RNA methyltransferase
874667	1.78E-09	3.733488	-	tellurite resistance protein TehB
1778637	1.78E-09	3.310504	trpB	tryptophan synthase subunit beta
151942	1.78E-09	3.310504	intergenic	n/a
1621719	1.86E-09	7.493219	-	extracellular solute-binding lipoprotein
636304	1.94E-09	2.506374	-	ABC transporter ATP-binding protein
2058783	1.99E-09	8.636719	-	rhomboid family membrane protein
529136	1.99E-09	4.54975	-	two-component system, sensor histidine kinase
915493	2.10E-09	1.620085	-	methyltransferase
469012	2.13E-09	0.5236375	blpA1	bacteriocin transport/processing ATP-binding protein BlpA
747055	2.14E-09	17.11589	-	ABC transporter ATP-binding protein
159102	2.14E-09	18.01914	-	response regulator protein
609969	2.14E-09	17.11589	intergenic	n/a
739591	2.14E-09	17.11589	intergenic	n/a
1304704	2.21E-09	1.212726	-	LicD-family phosphotransferase
867894	2.26E-09	4.768814	era	GTP-binding protein Era
870870	2.33E-09	5.775107	pmrA	multi-drug resistance efflux pump
1643889	2.40E-09	9.889907	aroF1	phospho-2-dehydro-3-deoxyheptonate aldolase
499954	2.41E-09	0.3071462	-	transcription antiterminator
291540	2.57E-09	4.925829	intergenic	n/a
1051856	2.60E-09	3.736911	-	haloacid dehalogenase-like hydrolase
1046267	2.67E-09	0.5491573	pdhA	pyruvate dehydrogenase E1 component,alpha subunit
362590	2.68E-09	0.757715	tig	trigger factor
461239	2.70E-09	1.233497	-	hypothetical protein
1161128	2.71E-09	1.654662	-	hypothetical protein
1836002	2.75E-09	5.88864	xerD	site-specific tyrosine recombinase XerD-like protein
1816074	2.76E-09	3.84852	galK	galactokinase
864375	2.80E-09	9.056883	lytB	endo-beta-N-acetylglucosaminidase
400980	2.88E-09	0.2706007	alsS	acetolactate synthase catalytic subunit
1587298	3.06E-09	0.3149419	intergenic	n/a
2163974	3.11E-09	0.6724245	glpO	alpha-glycerophosphate oxidase
330406	3.13E-09	2.434947	-	cell wall surface anchored protein
1142385	3.14E-09	0	-	phosphotransferase LicD1
1930936	3.14E-09	0	murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
221083	3.15E-09	1.594091	fsaA	fructose-6-phosphate aldolase
227920	3.16E-09	0.9039345	ruvB	Holliday junction DNA helicase RuvB
1427467	3.25E-09	3.066754	atpA	F0F1 ATP synthase subunit alpha
581736	3.34E-09	3.733488	-	hypothetical protein
583665	3.34E-09	3.733488	-	sodium hydrogen exchange transporter
706971	3.35E-09	12.60129	pepN	lysyl-aminopeptidase
518783	3.56E-09	0.6142258	cysS	cysteinyl-tRNA synthetase
1383738	3.79E-09	0.7313242	-	thioredoxin reductase
224303	3.81E-09	0.7388053	leuS	leucyl-tRNA synthetase
2002621	3.91E-09	5.118008	-	hypothetical protein
753182	3.96E-09	2.117426	parE	DNA topoisomerase IV subunit B
1612897	4.02E-09	5.497435	penA	penicillin-binding protein 2b
438255	4.13E-09	3.323629	-	endo-beta-N-acetylglucosaminidase
1471188	4.28E-09	0.4907419	-	hypothetical protein
2163281	4.54E-09	5.781079	glpO	alpha-glycerophosphate oxidase
1550116	4.77E-09	Inf	pepQ	Xaa-Pro dipeptidase
747731	4.91E-09	0	-	ABC transporter ATP-binding protein
182787	4.91E-09	0	-	lipoprotein
877096	4.91E-09	0	pepB	oligopeptidase
200444	4.91E-09	0	intergenic	n/a
1902165	5.01E-09	3.733488	recA	recombinase A
2060375	5.21E-09	6.150326	-	peptidase
1288939	5.45E-09	4.377157	rplL	50S ribosomal protein L7/L12
1789175	5.46E-09	0.5698223	-	iron ABC transporter ATP-binding protein
1799875	5.62E-09	1.147792	-	DegT/DnrJ/EryC1/StrS family amino sugar synthetase
535140	5.67E-09	9.889907	-	glutamine transporter, ATP-binding protein
256899	5.68E-09	0	pepC	aminopeptidase C
480711	5.80E-09	3.023754	infB	translation initiation factor IF-2
986428	5.91E-09	0.5535314	-	hypothetical protein
75570	5.97E-09	52.86516	-	beta-galactosidase
1549946	6.32E-09	Inf	intergenic	n/a
2080272	6.55E-09	1.44811	malA	maltodextrose utilization protein MalA
499873	6.56E-09	0.324374	-	transcription antiterminator
1361157	6.58E-09	0.7404005	intergenic	n/a
516193	6.64E-09	3.360651	pnpA	polynucleotide phosphorylase/polyadenylase
331500	6.69E-09	1.773582	intergenic	n/a
507222	7.03E-09	5.370429	pheT	phenylalanyl-tRNA synthetase subunit beta
1792012	7.21E-09	1.900666	intergenic	n/a
438449	7.29E-09	1.986443	-	endo-beta-N-acetylglucosaminidase
1549604	7.51E-09	Inf	-	aminotransferase
1350573	7.62E-09	1.620588	intergenic	n/a
300533	7.81E-09	0.8607819	-	hypothetical protein
866211	8.04E-09	4.973573	fbpS	fibronectin/fibrinogen-binding protein adherence and virulence protein A
667619	8.39E-09	0	-	glucose-specific phosphotransferase system (PTS), IIABC component
892601	8.44E-09	0.1593563	-	cytochrome c-type biogenesis protein
1596173	8.50E-09	0.8004173	-	hypothetical protein
2048393	8.52E-09	0.4248427	-	hypothetical protein
24548	8.59E-09	0.1680008	purA	adenylosuccinate synthetase
183429	8.59E-09	0.1680008	-	cardiolipin synthetase
440235	8.59E-09	0.1680008	-	endo-beta-N-acetylglucosaminidase
274203	8.59E-09	0.1680008	-	glutathione peroxidase
966088	8.59E-09	0.1680008	obgE	GTPase ObgE
275535	8.59E-09	0.1680008	-	hyaluronate lyase
110917	8.59E-09	0.1593563	sdhA	L-serine dehydratase, alpha chain
53476	8.59E-09	0.1680008	-	phosphoribosylformylglycinamidine synthase protein
53577	8.59E-09	0.1593563	-	phosphoribosylformylglycinamidine synthase protein
922002	9.02E-09	4.973573	-	RNA methyltransferase
327859	9.39E-09	0.5045065	-	cell wall surface anchored protein
1921914	9.81E-09	0.1866107	rpoC	DNA-directed RNA polymerase subunit beta'
2018950	1.02E-08	0.8944717	-	hypothetical protein
902945	1.08E-08	0.6639063	-	pneumococcal histidine triad protein E truncation
444946	1.10E-08	0.125994	intergenic	n/a
333282	1.14E-08	4.004976	pbp1A	penicillin-binding protein 1A
332247	1.15E-08	6.321509	pbp1A	penicillin-binding protein 1A
7984	1.15E-08	2.661158	trcF	transcription-repair coupling factor
144186	1.20E-08	0	ugd	UDP-glucose 6-dehydrogenase
144984	1.20E-08	0	intergenic	n/a
907134	1.21E-08	1.034845	mscL	large-conductance mechanosensitive channel
142219	1.21E-08	1.457651	intergenic	n/a
1389410	1.25E-08	1.254581	-	glutamine amidotransferase subunit PdxT
848939	1.33E-08	1.293508	-	hypothetical protein
2102069	1.38E-08	9.889907	ulaA	PTS system ascorbate-specific transporter subunit IIC
2101265	1.38E-08	9.889907	ulaA	PTS system ascorbate-specific transporter subunit IIC
2081779	1.48E-08	4.862833	malR	maltose operon transcriptional repressor
682992	1.51E-08	0.9168748	intergenic	n/a
1383301	1.52E-08	1.325857	-	SpoU rRNA methylase family protein
1938504	1.52E-08	0.1047451	intergenic	n/a
176778	1.56E-08	0.2884657	uvrA	excinuclease ABC subunit A
1659127	1.61E-08	3.001459	intergenic	n/a
641422	1.68E-08	11.39571	thiD	phosphomethylpyrimidine kinase
1889881	1.70E-08	0.6959038	ply	pneumolysin (thiol-activated cytolysin)
1332446	1.74E-08	0.9004525	-	extracellular amino acid-binding protein
290923	1.77E-08	0.821231	mraW	S-adenosyl-methyltransferase MraW
1825310	1.78E-08	3.81392	-	MarR-family transcriptional regulator
1639504	1.83E-08	0.5684268	recG	ATP-dependent DNA helicase RecG
502593	1.89E-08	2.026938	-	6-phospho-beta-glucosidase
1874815	1.89E-08	1.101146	recX	recombination regulator RecX
2103934	1.93E-08	0.4966473	-	PTS multi-domain regulator
1539900	1.96E-08	10.79492	intergenic	n/a
2090871	2.04E-08	2.262453	hisS	histidyl-tRNA synthetase
1445016	2.05E-08	1.748192	-	ABC transporter ATP-binding protein
1128402	2.27E-08	15.05157	intergenic	n/a
189827	2.28E-08	0.4437198	nrdG	anaerobic ribonucleoside-triphosphate reductase activating protein
154358	2.34E-08	0.1680008	-	ABC transporter ATP-binding protein
1641715	2.34E-08	1.627464	alr	alanine racemase
1297008	2.37E-08	1.612413	thrB	homoserine kinase
287904	2.38E-08	2.090429	-	heparinase II/III-like protein
1847423	2.40E-08	1.395589	-	peptide ABC transporter ATP-binding protein
2215138	2.43E-08	1.023983	intergenic	n/a
904296	2.49E-08	1.243392	intergenic	n/a
918035	2.64E-08	1.180831	-	hypothetical protein
1586850	2.73E-08	0.5869324	pepO	endopeptidase O
1430472	2.78E-08	1.60046	atpB	F0F1 ATP synthase subunit A
9714	2.86E-08	2.418394	-	hypothetical protein
765673	2.95E-08	2.488584	dnaH	DNA polymerase III subunits gamma/tau
1589728	2.98E-08	0.5351171	mtsA	metal ABC transporter substrate-binding lipoprotein precursor
1976561	3.11E-08	0.3922785	plr	glyceraldehyde-3-phosphate dehydrogenase, plasmin receptor
1918603	3.17E-08	2.488262	-	ABC transporter ATP-binding protein
1454491	3.23E-08	0.4176966	-	hypothetical protein
2181398	3.28E-08	0.3689466	-	hypothetical protein
219085	3.48E-08	2.644854	pflD	formate acetyltransferase
1613503	3.48E-08	1.986958	penA	penicillin-binding protein 2b
1992419	3.57E-08	0.2884657	intergenic	n/a
221815	3.71E-08	0.1762499	gldA	glycerol dehydrogenase
1782679	3.81E-08	2.097992	trpE	anthranilate synthase component I
184942	3.84E-08	Inf	-	hypothetical protein
362716	3.94E-08	1.181651	tig	trigger factor
567001	4.03E-08	1.223104	-	surface-anchored serine protease
2134829	4.11E-08	1.11295	fucI	L-fucose isomerase
1404236	4.11E-08	2.72932	-	oxidoreductase
212439	4.17E-08	1.352637	intergenic	n/a
1579893	4.26E-08	1.894315	-	hypothetical protein
1535416	4.27E-08	2.331776	tpiA	triosephosphate isomerase
139071	4.63E-08	0.3023917	intergenic	n/a
1380615	4.70E-08	0.2695736	-	haloacid dehalogenase-like hydrolase
162821	4.71E-08	1.359277	-	hypothetical protein
2121137	5.05E-08	1.682368	-	alpha-1,2-mannosidase
638682	5.09E-08	4.566634	-	coenzyme
1892442	5.40E-08	2.148257	intergenic	n/a
110722	5.44E-08	0.2879755	sdhA	L-serine dehydratase, alpha chain
193966	5.69E-08	4.491638	intergenic	n/a
955310	6.00E-08	0.5767208	ppc	phosphoenolpyruvate carboxylase
1196210	6.09E-08	2.041834	-	IS861 transposase Orf1
2130603	6.09E-08	2.041834	intergenic	n/a
1658861	6.36E-08	0.7779791	-	hypothetical protein
2006429	6.44E-08	Inf	ackA	acetate kinase
2010994	6.44E-08	Inf	-	competence protein
396999	6.44E-08	3.275346	-	glycosyl transferase
350014	6.44E-08	Inf	-	sensor histidine kinase
390121	6.55E-08	2.41988	nusB	transcription antitermination protein NusB
1816762	6.62E-08	1.121711	galR	galactose operon repressor
1107944	6.63E-08	0.6830229	-	CAAX amino terminal protease family protein
986802	6.65E-08	5.660782	intergenic	n/a
1474887	6.88E-08	0.4590187	-	cation transporting ATPase
100315	7.22E-08	0.2192582	-	hypothetical protein
1130378	7.28E-08	0.4434485	-	hypothetical protein
281967	7.35E-08	15.3237	idnO	gluconate 5-dehydrogenase
1145257	7.44E-08	16.21742	carB	carbamoyl phosphate synthase large subunit
207121	7.52E-08	0.1936417	-	hypothetical protein
208537	7.52E-08	0.1936417	-	phosphoglycerate mutase family protein
2054173	7.61E-08	0.2518961	pstB3	phosphate transporter ATP-binding protein
1561296	7.86E-08	0.2051731	-	hypothetical protein
1948874	8.81E-08	1.230321	-	hypothetical protein
2094832	9.02E-08	1.682368	-	DNA-binding protein
871177	9.12E-08	1.635392	intergenic	n/a
910812	9.42E-08	0.4049022	dapA	dihydrodipicolinate synthase
665862	9.87E-08	1.642594	ftsE	cell division ATP-binding protein
170367	1.06E-07	6.300592	intergenic	n/a
1145835	1.09E-07	15.3237	carB	carbamoyl phosphate synthase large subunit
1146087	1.09E-07	15.3237	carB	carbamoyl phosphate synthase large subunit
1477343	1.09E-07	5.079321	-	cation efflux family protein
1536297	1.09E-07	15.3237	-	DNA replication protein DnaD
1538699	1.09E-07	15.3237	-	methyltransferase
1661329	1.12E-07	0.5896163	-	ABC transporter ATP-binding protein
1383414	1.12E-07	1.473263	-	SpoU rRNA methylase family protein
528442	1.13E-07	4.595755	-	two-component system, sensor histidine kinase
1931722	1.15E-07	0.8141447	murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
155625	1.19E-07	4.855744	-	hypothetical protein
1661362	1.22E-07	1.72698	-	ABC transporter ATP-binding protein
634116	1.29E-07	0.2019127	thiM	hydroxyethylthiazole kinase
1990396	1.32E-07	0.1246711	adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
1559963	1.33E-07	0.5473539	-	membrane glycosyl transferase
1161249	1.33E-07	1.475348	-	phosphohydrolase
975822	1.38E-07	0.1680008	radC	DNA repair protein RadC
391685	1.42E-07	0.1689729	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B
1329935	1.44E-07	0.252568	-	hypothetical protein
1673143	1.44E-07	1.56402	-	hypothetical protein
292233	1.45E-07	11.99689	pbpX	penicillin binding protein 2x
1148525	1.47E-07	1.36335	pyrB	aspartate carbamoyltransferase catalytic subunit
1990537	1.50E-07	0.4185659	adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
1097334	1.54E-07	1.542202	mutY	A/G-specific adenine glycosylase
1099320	1.54E-07	1.318898	fhs1	formate--tetrahydrofolate ligase
1587079	1.55E-07	8.425912	intergenic	n/a
391550	1.60E-07	0.1776049	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B
369242	1.60E-07	0.1776049	mutS2	DNA mismatch repair protein
970416	1.60E-07	0.1776049	-	DNA-binding protein
758445	1.60E-07	0.1680008	-	extracellular oligopeptide-binding protein
771502	1.60E-07	0.1776049	sufB	FeS assembly protein SufB
1087751	1.60E-07	0.1680008	-	formate/nitrate transport protein
889118	1.60E-07	0.1776049	-	glycerophosphodiester phosphodiesterase
615198	1.60E-07	0.1776049	-	hypothetical protein
279614	1.60E-07	0.1776049	kgdA	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase
1059703	1.60E-07	0.1593563	-	ribonucleotide-diphosphate reductase subunit alpha
737528	1.60E-07	0.1776049	intergenic	n/a
903868	1.60E-07	0.1593563	intergenic	n/a
1056311	1.60E-07	0.1776049	intergenic	n/a
169664	1.62E-07	1.752551	intergenic	n/a
978531	1.63E-07	0.2277975	-	cysteine desulfurase
324649	1.72E-07	0.19838	aliA	extracellular oligopeptide-binding protein
686805	1.72E-07	1.130726	trmD	tRNA (guanine-N(1)-)-methyltransferase
736580	1.80E-07	11.27353	intergenic	n/a
95268	1.88E-07	0.252568	-	binding-protein-dependent transport system membrane protein
41977	1.88E-07	0.252568	-	CoA-binding protein
42088	1.88E-07	0.252568	-	CoA-binding protein
45495	1.88E-07	0.252568	recO	DNA repair protein RecO
45101	1.88E-07	0.252568	recO	DNA repair protein RecO
45293	1.88E-07	0.2395637	recO	DNA repair protein RecO
45071	1.88E-07	0.252568	recO	DNA repair protein RecO
437703	1.88E-07	0.2073334	-	endo-beta-N-acetylglucosaminidase
45889	1.88E-07	0.252568	plsX	glycerol-3-phosphate acyltransferase PlsX
46246	1.88E-07	0.252568	plsX	glycerol-3-phosphate acyltransferase PlsX
45670	1.88E-07	0.252568	plsX	glycerol-3-phosphate acyltransferase PlsX
45874	1.88E-07	0.252568	plsX	glycerol-3-phosphate acyltransferase PlsX
45820	1.88E-07	0.252568	plsX	glycerol-3-phosphate acyltransferase PlsX
42289	1.88E-07	0.252568	intergenic	n/a
1885764	1.88E-07	0.252568	intergenic	n/a
1990471	1.89E-07	0.4102181	adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
1107108	1.89E-07	2.441217	uvrB	excinuclease ABC subunit B
1560680	1.89E-07	1.510161	galE	UDP-glucose 4-epimerase
1408937	1.92E-07	0.2395637	tufA	elongation factor Tu
1681373	1.94E-07	1.674412	priA	primosome assembly protein PriA
1550533	2.02E-07	1.695204	pepQ	Xaa-Pro dipeptidase
197462	2.06E-07	Inf	rplE	50S ribosomal protein L5
804767	2.06E-07	Inf	pfk	6-phosphofructokinase
260830	2.06E-07	Inf	adhP	alcohol dehydrogenase
256913	2.06E-07	27.32328	pepC	aminopeptidase C
256497	2.06E-07	27.32328	pepC	aminopeptidase C
2067395	2.06E-07	Inf	-	cation transporting ATPase
1306297	2.06E-07	Inf	-	cell envelope-related transcriptional attenuator domain protein
1306357	2.06E-07	Inf	-	cell envelope-related transcriptional attenuator domain protein
245251	2.06E-07	Inf	fus	elongation factor G
257314	2.06E-07	27.32328	manN	mannose-specific phosphotransferase system (PTS), IID component
196700	2.06E-07	Inf	intergenic	n/a
138090	2.06E-07	Inf	intergenic	n/a
1430425	2.07E-07	0	atpB	F0F1 ATP synthase subunit A
1360175	2.07E-07	0	-	peptidase
1098929	2.09E-07	1.498113	fhs1	formate--tetrahydrofolate ligase
1351378	2.10E-07	0.2917097	intergenic	n/a
1351329	2.10E-07	0.2917097	intergenic	n/a
